Company,Confidence,Primary Category,Subcategory,Reasoning,Source
Datopian (Viderum Inc. trading as),74%,Core COSS Companies,Open Source Service & Consulting Specialists,Datopian is best known for building and implementing open-source data platforms (notably around CKAN and related open data tooling) and generating revenue primarily through consulting  integration  and support services rather than selling a proprietary software product. This aligns with the “service & consulting specialist” model: monetizing expertise in deploying and customizing OSS for organizations rather than monetizing proprietary extensions or operating a large-scale managed cloud of an externally owned OSS project.,Serena
Dawn Labs,62%,Core COSS Companies,Open Source Service & Consulting Specialists,Dawn Labs is primarily known as an engineering/design studio that builds and helps maintain developer-facing products and infrastructure rather than monetizing a single proprietary or open-core OSS product of its own. Their revenue appears to come mainly from services (implementation  product engineering  and consulting) delivered to other companies in the developer tooling/OSS ecosystem  which aligns best with a service & consulting specialist in the COSS taxonomy.,Serena
DBeaver,74%,Core COSS Companies,Open-Core Product Companies,DBeaver develops and distributes the DBeaver database tool with an open-source core (DBeaver Community) and monetizes via commercial proprietary offerings (e.g.  DBeaver PRO/Enterprise) that add advanced features and support. This aligns with an open-core model where the company controls the core product direction and sells paid extensions/editions rather than primarily offering consulting  packaging third-party OSS  or hosting managed OSS services.,OSS Capital
dbt Labs,83%,Core COSS Companies,Open-Core Product Companies,dbt Labs develops and commercializes dbt  an open source analytics engineering tool  while monetizing via its proprietary dbt Cloud offering (hosted service plus paid features). The company controls the core product direction and brand and generates revenue primarily from selling the software/service around that open source core rather than merely packaging third-party OSS.,Both
DECENT,34%,Adjacent Software and Technology Companies,Integration & Middleware Providers,“Decent” most commonly refers to a Web3/identity-related product brand rather than a company whose primary business model is developing and monetizing a specific open source software product. Based on limited identifier detail  it appears more like an adjacent technology provider that integrates with or enables ecosystems (potentially including OSS components) rather than a Core COSS company. Confidence is low because multiple entities use the name “Decent ” and the correct classification depends on which one you mean (website  product  or legal entity).,Serena
Decentralized Identity Foundation,86%,Community and Collaboration Facilitators,Open Source Foundations & Governance Bodies,The Decentralized Identity Foundation is a non-profit consortium focused on advancing decentralized identity through community coordination  working groups  and stewardship of specifications and open-source efforts. Its primary function is ecosystem governance and collaboration rather than monetizing an OSS product  operating a cloud/infrastructure platform  or providing commercial software services.,Serena
Deepchecks,72%,Core COSS Companies,Open-Core Product Companies,Deepchecks develops an open-source core product for ML/data validation and monitoring  and the company’s business is centered on distributing and monetizing this software (typically via a commercial/enterprise offering around the OSS core). This fits the open-core pattern where the vendor controls the core project and sells proprietary features  enterprise capabilities  or hosted options on top of it  rather than primarily providing generic infrastructure or purely adjacent monitoring for third-party OSS.,OSS Capital
DeepPavlov,62%,Core COSS Companies,Open Source Service & Consulting Specialists,DeepPavlov is best known for the DeepPavlov open-source NLP framework and related AI tooling  with monetization typically coming from enterprise implementations  customization  and applied AI/NLP solutions rather than purely selling a proprietary software license. This aligns most closely with a services/consulting-led model built around an OSS project they develop and maintain  rather than primarily operating a managed cloud service or an open-core feature upsell.,Serena
Deepset,78%,Core COSS Companies,Open-Core Product Companies,Deepset is best known for developing Haystack  an open-source NLP/LLM orchestration framework  and monetizing it via its commercial platform (Haystack/Deepset Cloud) and enterprise offerings. This fits an open-core-style model where the company controls and stewards the OSS core while selling proprietary/enterprise features and support around it.,Both
Defense Unicorns,74%,Core COSS Companies,Open Source Service & Consulting Specialists,Defense Unicorns primarily monetizes open source by packaging  integrating  and supporting OSS-based platforms for defense/government use cases (e.g.  Kubernetes/DevSecOps enablement)  which aligns most closely with a services-and-consulting revenue model rather than selling a proprietary open-core product. While they do publish and maintain OSS projects  the commercial emphasis appears centered on implementation  delivery  and support services around those projects.,OSS Capital
Defog,66%,Adjacent Software and Technology Companies,Integration & Middleware Providers,Defog primarily sells a proprietary product that translates natural language into SQL and connects to existing databases/warehouses  helping users interact with and integrate across data systems rather than monetizing an open-source project it controls. This positions it as an enabling layer for data/OSS stacks (middleware/integration)  not a Core COSS company or an infrastructure/cloud provider.,OSS Capital
Dendron,44%,Core COSS Companies,Open Source Service & Consulting Specialists,Dendron is best known as an open-source developer productivity/knowledge management tool rather than a cloud platform  foundation  or analytics provider. There is no clear evidence of a sustained open-core monetization model  managed hosting offering  or distribution business; if commercial activity exists  it most plausibly aligns with services/support around the OSS project rather than proprietary add-ons. Confidence is moderate-low because Dendron’s current corporate/commercial status and revenue model are not clearly established from the entity name alone.,OSS Capital
Deno,74%,Core COSS Companies,Open-Core Product Companies,Deno develops and stewards the Deno open source runtime and monetizes it via Deno Deploy (a hosted commercial offering) plus related paid products/services around the core technology they control. Because the company’s primary business centers on building and monetizing an OSS project they own and direct  it best fits a Core COSS company rather than a general infrastructure provider or adjacent tooling vendor.,OSS Capital
Department of Better Technology,24%,Community and Collaboration Facilitators,Open Source Foundations & Governance Bodies,“Department of Better Technology” does not clearly map to a commercial software vendor  infrastructure/tooling provider  or investor based on the name alone  so the closest fit in the taxonomy is a non-technical organizing/governance-style entity. This classification is low-confidence because there is insufficient evidence about revenue model  products/services  or OSS stewardship activities.,Serena
Descope,74%,Adjacent Software and Technology Companies,Security and Compliance Tools,Descope primarily sells an authentication/authorization platform (CIAM) rather than monetizing a specific open source project it develops and controls  so it does not fit the Core COSS company definition. Its product sits adjacent to OSS adoption as a security/identity layer used alongside many OSS stacks  aligning best with Security and Compliance Tools. While it may integrate with OSS heavily  its business model is not centered on distributing or monetizing an open source core.,OSS Capital
Devgistics,62%,Core COSS Companies,Open Source Service & Consulting Specialists,Devgistics appears to operate primarily as a services/consulting-oriented organization rather than a vendor monetizing a specific open-source product or a managed cloud provider for an OSS project. This fits best with the “Open Source Service & Consulting Specialists” definition where revenue is driven by implementation  integration  and advisory work around open-source technologies rather than proprietary extensions or distribution ownership.,Serena
DevLand.AI,30%,Adjacent Software and Technology Companies,Integration & Middleware Providers,Publicly available information about DevLand.AI’s primary business model and whether it develops/monetizes a specific open-source product is insufficient  so a definitive COSS classification cannot be made with high confidence. Based on the name and typical positioning of “.AI” developer-focused firms  it most plausibly aligns with providing enabling software around development workflows (integration/middleware) rather than being a core COSS company centered on monetizing an OSS product. If DevLand.AI actually maintains an OSS core with paid proprietary add-ons or offers hosted OSS services  the category would shift to Core COSS (Open-Core or Managed Open Source).,Serena
Devtron,72%,Ecosystem Infrastructure Providers (Catalysts),Development & CI/CD Tool Providers,Devtron provides Kubernetes-centric DevOps tooling (CI/CD  GitOps-style deployment  and application management) that enables adoption and operation of open source infrastructure rather than monetizing a single OSS database/runtime as its core product. This fits the “platform/tooling essential to OSS adoption” definition  aligning most closely with development and deployment tool providers.,OSS Capital
Dexero,32%,Adjacent Software and Technology Companies,Security and Compliance Tools,Publicly available information is insufficient to clearly identify Dexero as a Core COSS company (i.e.  monetizing an open-source product it controls) or as an infrastructure/foundation/investment entity. The name most plausibly maps to a security/compliance-oriented software vendor that supports OSS adoption indirectly rather than monetizing OSS directly  but this is uncertain without confirmation of their product and business model.,Serena
DGraph,72%,Core COSS Companies,Open-Core Product Companies,Dgraph develops and commercializes an open-source graph database  with monetization historically driven by an enterprise/hosted offering and proprietary features around the OSS core they originated. This fits the open-core pattern where the company controls the core project and sells paid tiers/extensions rather than primarily packaging third-party OSS.,OSS Capital
diagrams.net,62%,Core COSS Companies,Open-Core Product Companies,diagrams.net (formerly draw.io) is centered on an open-source diagramming product it develops and distributes  making the software itself the primary value driver rather than infrastructure or consulting. While the core editor is open source  commercialization is typically through proprietary/hosted offerings and integrations (e.g.  enterprise-oriented deployment options)  aligning best with an open-core style COSS product company.,Serena
Diagrid,78%,Core COSS Companies,Managed Open Source (Cloud) Providers,Diagrid’s primary offering is a managed cloud service built around the open source Dapr project (Distributed Application Runtime)  positioning it as a hosted provider that monetizes operating and supporting an OSS technology. While the company contributes to and is closely associated with Dapr  the core commercialization appears centered on delivering Dapr as a managed service rather than selling proprietary extensions of an OSS core.,OSS Capital
Diaspora,60%,Community and Collaboration Facilitators,Open Source Foundations & Governance Bodies,Diaspora is best known as a decentralized  community-run open source social networking project rather than a commercial vendor with a monetization-driven OSS business model. It does not primarily operate as a hosted managed service  distribution company  or open-core product company; instead it functions mainly through community collaboration and project stewardship. The relatively low confidence reflects that “Diaspora” can also refer to multiple related community efforts and not a clearly defined commercial entity.,Serena
Digger,73%,Ecosystem Infrastructure Providers (Catalysts),Development & CI/CD Tool Providers,Digger provides tooling to automate and orchestrate Terraform/IaC workflows (e.g.  PR-based runs  policy checks  CI-style automation)  which supports adoption and operation of open source infrastructure tooling rather than monetizing a specific OSS product. Its core value is developer workflow/automation infrastructure  fitting the development & CI/CD tools catalyst category more than a Core COSS vendor.,Serena
Digital Asset,74%,Adjacent Software and Technology Companies,Integration & Middleware Providers,Digital Asset is primarily a commercial enterprise blockchain/DLT software company (e.g.  DAML/Canton-based solutions) selling platform software and services rather than being centered on monetizing a widely adopted open-source core or distributing/supporting third-party OSS. While it has open source components  its main business model aligns more with providing interoperability/application infrastructure (middleware) for enterprise systems than with Core COSS categories like open-core or managed OSS.,OSS Capital
DigitalBits Project,62%,Community and Collaboration Facilitators,Open Source Foundations & Governance Bodies,DigitalBits Project appears to function primarily as a steward/community entity around the DigitalBits network/protocol rather than a company monetizing an open-source software product via licensing  support  or hosted services. Its core role is ecosystem coordination (development direction  community growth  and governance-like activities)  which fits the “foundations & governance bodies” definition more closely than Core COSS or infrastructure/tooling providers.,Serena
Digium,76%,Core COSS Companies,Open-Core Product Companies,Digium is best known for sponsoring and commercially backing the Asterisk open source PBX  monetizing it through branded hardware/appliances  support  and proprietary add-ons/editions (e.g.  commercial telephony modules and packaged PBX products). This aligns with a primary business model centered on developing and monetizing an OSS core with commercial extensions and support  rather than merely packaging third-party OSS or providing general infrastructure.,Serena
Dimagi,67%,Core COSS Companies,Open Source Service & Consulting Specialists,Dimagi is best known for building and supporting digital health and data-collection solutions around CommCare  including implementation services  customization  and support for organizations deploying these systems. While they maintain and distribute software  their monetization is closely tied to services and deployment work rather than acting primarily as a general-purpose OSS infrastructure/tooling provider or a pure open-core feature upsell model.,Serena
Dimdim,62%,Core COSS Companies,Open-Core Product Companies,Dimdim was known for its web conferencing product that offered an open-source edition alongside paid/proprietary editions  which aligns with monetizing proprietary features around an open-source core. The company’s primary business was centered on developing and selling/supporting that software rather than providing general infrastructure or consulting-only services.,Serena
DioxusLabs,62%,Core COSS Companies,Open-Core Product Companies,DioxusLabs is primarily associated with developing and maintaining Dioxus  an open source developer framework  which places it in the Core COSS set (building and distributing OSS as the focal “product”). The company appears to monetize around that core via commercial offerings (e.g.  paid tooling  services  or proprietary add-ons)  which aligns best with an open-core product company rather than a distributor  consultant-only specialist  or managed OSS cloud provider.,Serena
Directus,78%,Core COSS Companies,Open-Core Product Companies,Directus develops and stewards an open-source core product (a headless CMS/data platform) and monetizes it primarily through commercial offerings such as Directus Cloud and paid enterprise features/support. This aligns with a Core COSS company that controls the IP of the open-source core while offering proprietary/paid tiers and services around it  fitting the Open-Core Product Company subcategory.,OSS Capital
Discourse,86%,Core COSS Companies,Open-Core Product Companies,Discourse develops and maintains the Discourse forum software  which is open source  and monetizes primarily through Discourse hosting and enterprise offerings tied to the product they control. While it provides a managed service (Discourse hosting)  it is centered on their own OSS product rather than hosting third-party OSS  aligning best with an open-core product company in this taxonomy.,Both
DLT (short for data load tool),62%,Core COSS Companies,Open-Core Product Companies,DLT is an open source data loading library/tooling project with a commercial entity behind it that monetizes the product via paid offerings (e.g.  hosted service and/or proprietary features) while maintaining an open-source core. This fits the definition of a Core COSS company where the business model centers on developing and monetizing an OSS product they control  rather than primarily providing general infrastructure or unrelated adjacent tooling.,Serena
dltHub,62%,Core COSS Companies,Open-Core Product Companies,dltHub is best known for the open-source “dlt” (data load tool) project and appears to commercialize around that OSS core via a company-run product/service offering  which aligns with a Core COSS profile. Because the company is closely associated with creating and steering the core project (implying IP/control) rather than merely packaging or hosting an external OSS  it fits Open-Core more than Managed Open Source Provider or Consulting-only. Confidence is moderate because the exact monetization mix (hosted service vs proprietary add-ons vs services) is not fully verifiable from the prompt alone.,OSS Capital
DLTx,43%,Adjacent Software and Technology Companies,Integration & Middleware Providers,DLTx appears to be primarily a systems integrator/technology services firm focused on delivering blockchain/DLT solutions rather than a company whose core business is monetizing an open-source product it controls. That aligns best with “Integration & Middleware Providers” in the adjacent category  since the value is in implementation and interoperability layers around underlying technologies (which may include open source)  not in distributing or operating a specific OSS product as the primary revenue engine.,Serena
DNN Corp (DotNetNuke),74%,Core COSS Companies,Open-Core Product Companies,DNN Corp commercialized the DotNetNuke open-source CMS by controlling the core project direction and monetizing proprietary editions/modules and enterprise features  alongside paid support/services. This matches the open-core pattern where an open-source base is paired with commercial add-ons and packaged enterprise offerings rather than merely distributing or hosting an externally owned OSS project.,Serena
Docker,78%,Core COSS Companies,Open-Core Product Companies,Docker’s core business centers on developing and monetizing container tooling built around widely adopted open-source components (e.g.  Docker Engine/Moby) that it stewards  while selling proprietary products and subscriptions such as Docker Desktop/Team/Business and related features. This aligns with an open-core model where an open-source core drives adoption and commercial offerings provide monetization rather than primarily packaging third-party OSS or acting as a general infrastructure provider.,Both
Dockflow,56%,Adjacent Software and Technology Companies,Integration & Middleware Providers,Dockflow appears to be a software tool/company focused on enabling workflows and integrations around container/Docker-based environments rather than monetizing or governing a specific open source project. That aligns best with “Adjacent Software and Technology Companies ” specifically integration/middleware that supports OSS adoption. Confidence is moderate because public signals about whether Dockflow controls an open-source core product or primarily offers managed hosting are unclear from the name alone.,Serena
Documenso,62%,Core COSS Companies,Open-Core Product Companies,Documenso is positioned around an open source e-signature/document signing product  indicating its primary business is tied to developing and distributing an OSS-based software product. Given typical monetization patterns for OSS SaaS products in this space (hosted offering and/or paid tiers/features around an open source core they control)  it best fits an Open-Core Product Company rather than a distributor  consultancy  or infrastructure provider.,OSS Capital
Donay,24%,Adjacent Software and Technology Companies,Integration & Middleware Providers,“Donay” does not map cleanly to a widely recognized Core COSS vendor  foundation  investor  or major infrastructure/cloud provider based on the name alone  and there isn’t enough detail to confirm an open-source-centered revenue model. Given the uncertainty  the closest fit is an adjacent technology company that likely provides software capabilities around business workflows (often integration/middleware)  but this classification is tentative pending more information on its products and business model.,Serena
dotCMS,86%,Core COSS Companies,Open-Core Product Companies,dotCMS develops and sells a content management platform with an open-source core (dotCMS Community Edition) and monetizes via commercial/enterprise editions that add proprietary features  support  and enterprise services. This matches the open-core model where the company controls the core product’s IP and drives revenue from paid extensions and subscriptions rather than merely packaging third-party OSS or acting primarily as a hosting provider.,Serena
Dozer,58%,Core COSS Companies,Open-Core Product Companies,Dozer is best characterized as a company centered on delivering a specific software product (a data/analytics-focused system) that is positioned in/around open source distribution and adoption. This maps most closely to a Core COSS company because the product itself appears to be the primary value delivered rather than generic infrastructure  funding  or community governance. Confidence is moderate because the public details about its monetization model (fully open source vs open-core vs hosted) are not fully clear from the name alone.,OSS Capital
Dragonfly,64%,Core COSS Companies,Open-Core Product Companies,Dragonfly is best known for the DragonflyDB in-memory datastore  which is built and marketed as an open-source core product with a commercial company behind it. The company’s primary business appears centered on developing and monetizing that OSS-led product (typically via enterprise features  licensing  or commercial support)  which aligns most closely with an open-core product company rather than a generic infrastructure/tooling provider.,OSS Capital
Dremio,72%,Core COSS Companies,Open-Core Product Companies,Dremio’s business centers on building and monetizing its data lakehouse/query platform  with an open-source core (Dremio Community Edition) and commercial offerings (software subscriptions and a hosted cloud service) providing the primary revenue streams. Because Dremio controls the product’s IP and differentiates paid tiers with proprietary features and enterprise capabilities  it fits the open-core product company definition more than a pure managed open source provider.,OSS Capital
Drone Box,32%,Adjacent Software and Technology Companies,Integration & Middleware Providers,“Drone Box” appears to be a commercial drone/robotics solution rather than a company whose primary business is developing or monetizing an open-source software product  nor an OSS foundation  funder  or research provider. In the absence of clear evidence that it sells/hosts OSS as its core revenue stream  it fits best as an adjacent technology company providing a vertical solution that may integrate with various software stacks (potentially including OSS) without being defined by a specific open-source product.,Serena
Dronesmith Technologies,46%,Adjacent Software and Technology Companies,Integration & Middleware Providers,Dronesmith Technologies appears to be a drone-focused technology company where software is likely part of a broader product/service offering rather than a business primarily centered on developing and monetizing an open-source software product. In the absence of clear evidence that it controls and sells an OSS core (open-core)  packages/supports third-party OSS (distribution)  or offers managed hosting of OSS (managed provider)  the best fit is an adjacent provider that builds integration layers and tooling around operational systems. Confidence is moderate-low due to limited public detail about its revenue model and open-source posture.,Serena
Dylibso,74%,Ecosystem Infrastructure Providers (Catalysts),Development & CI/CD Tool Providers,Dylibso provides tooling and infrastructure to help organizations adopt and operationalize WebAssembly/OSS components (e.g.  build  package  distribute  and run WASM-based software) rather than monetizing a single open-source product as the core offering. This aligns best with “platform/tooling essential to OSS adoption” in the ecosystem  fitting the development and delivery tool/provider subcategory.,OSS Capital
DzzOffice,34%,Adjacent Software and Technology Companies,Integration & Middleware Providers,DzzOffice appears to be an office/productivity software brand rather than an organization whose primary business model is developing and monetizing a specific open source project  distributing OSS  or providing managed hosting for OSS. With limited public detail in the prompt about an owned open source core  cloud hosting  or foundation role  the closest fit in this taxonomy is an adjacent productivity/enterprise software provider that may integrate with or sit alongside OSS tooling rather than being defined by it.,Serena
Eagle Genomics,55%,Adjacent Software and Technology Companies,Integration & Middleware Providers,Eagle Genomics is primarily known for providing a data/analytics platform for life-sciences (e.g.  integrating  harmonizing  and enabling analysis of biological and microbiome datasets) rather than monetizing a widely adopted open source software product as its core business. Its value proposition is closest to an integration/enablement layer used alongside other tools and data sources  which fits the “Adjacent” category more than Core COSS. Public evidence that its primary business model revolves around developing and monetizing an open-source core is limited  so classification is moderate-confidence.,Serena
Earthly,84%,Ecosystem Infrastructure Providers (Catalysts),Development & CI/CD Tool Providers,Earthly provides a build automation/CI-oriented developer tool (Earthly Build) used to create reproducible builds and pipelines across environments  which supports OSS adoption but is not itself defined by monetizing a single open source database/runtime. Its business aligns most closely with development and CI/CD tooling infrastructure rather than selling a managed OSS service or an open-core application platform.,OSS Capital
Easy Software Ltd.,56%,Core COSS Companies,Open-Core Product Companies,Easy Software Ltd. appears to primarily monetize a software product it develops (project/work management under the Easy Software/“Easy Redmine/Easy Project” branding)  which aligns most closely with a product company rather than infrastructure  funding  or community governance. While it integrates with and may leverage open-source components (e.g.  Redmine roots)  its commercial model is best fit by selling proprietary features/support around a core  consistent with the open-core pattern. Confidence is moderate due to limited public confirmation in the prompt about the degree of open-source control and what portion of the offering is truly open source versus proprietary.,Serena
Eclipse Foundation,95%,Community and Collaboration Facilitators,Open Source Foundations & Governance Bodies,The Eclipse Foundation is a nonprofit steward that provides governance  IP management  specifications  and community infrastructure for a large portfolio of open source projects. Its primary role is ecosystem health and project stewardship rather than monetizing a specific OSS product through licensing  hosting  or proprietary add-ons. Funding is largely membership dues and sponsorships  aligning with a foundation/governance body classification.,Serena
EclipseSource,78%,Core COSS Companies,Open Source Service & Consulting Specialists,EclipseSource is best known for providing commercial services around Eclipse ecosystem technologies (e.g.  engineering  integration  support  and training) rather than primarily monetizing a proprietary extension of a single open-source core they control. While they contribute to and help productize OSS (often in the Eclipse/industry tooling space)  their revenue model is predominantly services/consulting-oriented  fitting the “Service & Consulting Specialist” definition.,Serena
Eclypsium,78%,Adjacent Software and Technology Companies,Security and Compliance Tools,Eclypsium primarily sells a commercial security platform focused on firmware/hardware supply chain risk and device integrity monitoring rather than monetizing an open source software product. Its value proposition aligns with protecting and securing systems (including OSS-dependent infrastructure) rather than developing/distributing OSS as the core business model. Therefore it fits best as an adjacent security/compliance tool provider in the COSS ecosystem.,OSS Capital
EDB,84%,Core COSS Companies,Open-Core Product Companies,EDB’s business is centered on PostgreSQL  offering a commercial distribution and enterprise-grade platform with proprietary enhancements (e.g.  tools  management  high availability  and support) monetized alongside the open source core. This aligns with an open-core model where the company commercializes extensions/features and enterprise subscriptions around an OSS database foundation.,Serena
EdgeDB,72%,Core COSS Companies,Open-Core Product Companies,EdgeDB develops and commercializes a database product built around an open-source core that the company controls  aligning with a primary business model centered on developing and monetizing OSS. Its monetization is typically via commercial offerings (e.g.  enterprise features/support and/or hosted service)  which fits the open-core product company pattern more than pure distribution or consulting.,Both
Efabless,72%,Core COSS Companies,Open Source Service & Consulting Specialists,Efabless’s business centers on enabling and supporting open-source silicon development flows (notably around the open-source SkyWater 130nm PDK and associated tooling)  packaging access to manufacturing  and providing implementation/enablement services rather than monetizing proprietary extensions of a single open-source software product they exclusively control. While they offer a platform and tooling to make OSS-based chip design practical  their revenue fit aligns most closely with services/consulting and integration around an open ecosystem rather than a general-purpose infrastructure platform or a managed cloud service for an external OSS database/framework.,Both
Eficode,86%,Core COSS Companies,Open Source Service & Consulting Specialists,Eficode’s primary business is providing DevOps and open-source-focused consulting  integration  training  and managed services rather than monetizing a proprietary extension of a single open-source product they control. They help enterprises adopt and operate OSS tooling (e.g.  CI/CD  DevOps platforms) and derive revenue mainly from services and support  matching the “Open Source Service & Consulting Specialists” definition.,Serena
Eightomic,34%,Adjacent Software and Technology Companies,Integration & Middleware Providers,Publicly available information about Eightomic’s primary business model and whether it develops/monetizes an open-source product is insufficient to confidently place it in a Core COSS category. Given the name and limited context  the closest fit in the taxonomy is an adjacent software vendor likely providing enabling technology rather than a governed OSS product or foundation. If Eightomic’s revenue is primarily from an open-source core it controls (or managed hosting of a specific OSS)  the classification would shift accordingly.,Serena
Elastic,88%,Core COSS Companies,Open-Core Product Companies,Elastic’s primary business is monetizing the Elasticsearch/Kibana-based stack through paid subscriptions and proprietary features on top of a source-available/open core they control. While they also offer managed services (Elastic Cloud)  the dominant model is selling licenses/subscriptions and support tied to their own core products rather than packaging third-party OSS.,Serena
Eldarion,62%,Core COSS Companies,Open Source Service & Consulting Specialists,Eldarion is best known for delivering services around open source software—consulting  development  and support—rather than primarily monetizing a proprietary extension of a controlled open-source core or operating a large managed cloud offering. This aligns most closely with the “Service & Consulting Specialists” definition where revenue is driven by implementation and expertise in OSS adoption and integration.,Serena
ElectricSQL,66%,Core COSS Companies,Open-Core Product Companies,ElectricSQL’s primary offering is an open source software product (developer-sync/replication layer around Postgres) that they develop and control  making the business centered on building and monetizing OSS rather than merely packaging or hosting someone else’s project. Like many COSS startups  monetization is typically via paid hosted offerings and/or proprietary enterprise features around the open source core  which fits the open-core product company definition.,Serena
Element,76%,Core COSS Companies,Open-Core Product Companies,Element is the primary company behind the Matrix-based Element app and associated server/enterprise offerings  monetizing the open source core via paid hosting and enterprise features/support. This aligns best with an open-core product model where the company stewards the core OSS project while generating revenue from commercial add-ons and enterprise deployments.,OSS Capital
Elementl,78%,Community and Collaboration Facilitators,Open Source Foundations & Governance Bodies,Elementl is a nonprofit organization focused on open source ecosystem health through neutral governance and stewardship (not selling software or cloud services as a primary business). Its work centers on convening stakeholders  enabling collaboration  and supporting open source projects/communities  which aligns with a foundation-style facilitator rather than a Core COSS vendor.,OSS Capital
Elevation web,56%,Core COSS Companies,Open Source Service & Consulting Specialists,Elevation web appears to be a web agency/services business  which most closely maps to earning revenue from consulting  implementation  and integration work rather than selling or hosting a specific open source product. In the COSS taxonomy  that aligns best with Open Source Service & Consulting Specialists  assuming their delivery leverages common OSS stacks (e.g.  CMS/frameworks) rather than proprietary software licensing.,Serena
Elto,34%,Adjacent Software and Technology Companies,Integration & Middleware Providers,“Elto” does not clearly map to a well-known Core COSS company with an identifiable open-source project and monetization model  nor to a foundation  investor  or cloud infrastructure provider. In the absence of verifiable evidence that its primary business is developing/monetizing an OSS product  the closest fit in the taxonomy is an adjacent software company that helps others adopt or operationalize OSS via integration/middleware-style capabilities.,Serena
Embrace,62%,Adjacent Software and Technology Companies,Monitoring and Observability Providers,Embrace is primarily known as a mobile app observability and performance monitoring platform  which supports software teams (including those using OSS components) rather than monetizing a specific open source product. Its business model aligns with providing monitoring/diagnostics tooling (an adjacent layer) instead of developing or distributing an OSS core  hosting managed OSS  or acting as a foundation/investor.,Serena
EMQ Technologies,72%,Core COSS Companies,Open-Core Product Companies,EMQ Technologies develops and commercializes EMQX  an MQTT messaging/broker platform with an open-source core and commercially licensed enterprise features and support. Their primary monetization is tied to the software product they control (enterprise edition  support/subscriptions)  which aligns with an open-core COSS model rather than a generic infrastructure or purely managed-service provider.,Serena
Enclave,62%,Adjacent Software and Technology Companies,Security and Compliance Tools,Enclave is primarily known for providing security-focused tooling (developer-centric secrets management and/or secure enclaves) that supports software teams rather than monetizing a specific open-source core project as its main product. This aligns best with security/compliance tooling adjacent to OSS adoption  since the value is in protecting and hardening software supply chains rather than distributing or hosting an OSS product directly.,Serena
EndeavourOS,62%,Core COSS Companies,Open Source Distribution Companies,EndeavourOS is a Linux distribution that packages and distributes open source software (largely from Arch Linux repositories) into an installable  user-friendly OS  fitting the “open source distribution” definition. It does not appear to monetize via proprietary extensions or a managed hosted service; it is primarily a community-led distribution project  with any funding typically coming from donations/sponsorship rather than software sales.,Serena
ENDLESS,42%,Adjacent Software and Technology Companies,Integration & Middleware Providers,“Endless” most commonly refers to Endless OS / Endless Computers  which develops and distributes an end-user operating system based on Linux aimed at accessible computing. That activity touches open source distribution  but the organization is not widely characterized as a COSS business monetizing OSS via subscriptions/support in the way Red Hat/SUSE do  so it fits best as an adjacent technology company enabling OSS-based computing. Confidence is moderate-low because “ENDLESS” could refer to a different company without more context (website/product details).,Serena
Endor Labs,78%,Adjacent Software and Technology Companies,Security and Compliance Tools,Endor Labs sells a commercial platform focused on securing and governing open source software usage (e.g.  dependency risk  vulnerability and policy controls) rather than monetizing a specific open source product it controls. This aligns with adjacent security/compliance tooling that protects and manages OSS adoption in enterprises  similar in role to vendors like Snyk.,Serena
Endurance Lasers,32%,Adjacent Software and Technology Companies,Integration & Middleware Providers,Endurance Lasers appears to be primarily a hardware manufacturer/supplier (lasers and related equipment) rather than a company whose main business is developing or monetizing open source software. If they provide software/firmware or control tooling  it is likely ancillary to their hardware products and not positioned as a core COSS offering. With limited public evidence of an open-source-centric business model  the best fit in this taxonomy is an adjacent technology provider rather than a core COSS company.,Serena
EngageUsers.ai,30%,Adjacent Software and Technology Companies,Integration & Middleware Providers,EngageUsers.ai appears to be a customer engagement/marketing automation platform (adjacent application software) rather than a company whose primary business is developing or monetizing an open source product. There is no clear evidence that it develops/distributes a specific OSS project or provides managed hosting for an OSS technology  so it fits best as an adjacent SaaS that integrates with other systems. Confidence is low due to limited publicly verifiable information about any open-source components or business model.,Serena
EngFlow,72%,Ecosystem Infrastructure Providers (Catalysts),Development & CI/CD Tool Providers,EngFlow provides CI/CD and build acceleration infrastructure (e.g.  remote execution/build caching) that enables teams to develop and ship software more efficiently  rather than monetizing a specific open-source software product as its core business. This aligns with tooling/platform providers essential to OSS adoption and software delivery workflows  fitting the Development & CI/CD Tool Providers subcategory.,OSS Capital
Enigma Technologies,32%,Adjacent Software and Technology Companies,Security and Compliance Tools,“Enigma Technologies” is not clearly identifiable from the provided input as a company whose primary business is developing/monetizing a specific open source product  distributing OSS  or providing managed OSS cloud services. The name most commonly aligns with cybersecurity-oriented firms in the market  which fits the “Security and Compliance Tools” adjacent category that supports/protects OSS rather than being defined by an OSS product. Confidence is low due to insufficient detail about the company’s actual offerings and revenue model.,Serena
eNovance,74%,Core COSS Companies,Open Source Service & Consulting Specialists,eNovance is best known as an OpenStack-focused engineering  integration  and consulting/services firm  generating revenue primarily from helping organizations adopt and operate open source cloud infrastructure rather than from selling a proprietary software product. They contributed to upstream OpenStack and delivered professional services/support around externally governed OSS  which aligns with the “service & consulting specialist” definition.,Serena
Enrise,68%,Core COSS Companies,Open Source Service & Consulting Specialists,Enrise appears to operate primarily as a software engineering/services firm (consulting  custom development  integration) rather than a company monetizing a specific open source product or distribution it controls. This aligns best with the “Open Source Service & Consulting Specialists” category where revenue is driven by implementation and advisory work around software/OSS rather than proprietary product licensing or managed hosting of a specific OSS technology.,Serena
